condition,class,n_gt,e1_ap50,e2_ap50,ap50_gap,e1_recall,e2_recall,recall_gap
day,auto_rickshaw,773,0.5817,0.7255,0.1438,0.5291,0.7025,0.1734
day,bus,143,0.1573,0.3457,0.1884,0.1608,0.2587,0.0979
day,car,467,0.5968,0.6546,0.0578,0.5054,0.6253,0.1199
day,motorbike,191,0.3554,0.3833,0.0279,0.274,0.3927,0.1187
day,person,1405,0.3093,0.4186,0.1093,0.247,0.3851,0.1381
day,three_wheeler,756,0.3791,0.6318,0.2526,0.2765,0.6085,0.332
day,truck,222,0.1359,0.445,0.3092,0.1081,0.3919,0.2838
night,auto_rickshaw,1023,0.5602,0.7794,0.2191,0.4177,0.7478,0.3301
night,bus,268,0.3944,0.3262,-0.0683,0.3843,0.3022,-0.0821
night,car,655,0.4703,0.5831,0.1128,0.4148,0.5435,0.1288
night,motorbike,210,0.4806,0.3754,-0.1052,0.4508,0.2762,-0.1746
night,person,1104,0.2274,0.2949,0.0675,0.1727,0.2672,0.0945
night,three_wheeler,232,0.1882,0.3246,0.1364,0.181,0.3233,0.1422
night,truck,446,0.3772,0.3623,-0.0148,0.2818,0.3498,0.068
