epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3934,1.91065,3.33657,0.007,0.57296,0.3784,0.39909,0.24077,1.74355,2.43136,0.00947,0.00326241,0.00326241,0.0706383
2,47.0494,1.82307,2.1097,0.0063,0.80982,0.44183,0.51439,0.29565,1.63796,1.90479,0.009,0.00653045,0.00653045,0.040573
3,58.78,1.77574,1.83716,0.00634,0.77605,0.42234,0.50106,0.27885,1.69895,1.86222,0.00988,0.00973248,0.00973248,0.0104417
4,70.5185,1.80736,1.73842,0.00647,0.72528,0.43622,0.49798,0.27973,1.70207,1.79127,0.01017,0.009703,0.009703,0.009703
5,82.7457,1.78677,1.6643,0.00649,0.78656,0.46846,0.54093,0.30716,1.73057,1.57265,0.01054,0.009604,0.009604,0.009604
6,94.6268,1.82515,1.58954,0.00659,0.75092,0.44327,0.52208,0.3007,1.71034,1.54632,0.01025,0.009505,0.009505,0.009505
7,106.439,1.79534,1.5258,0.00656,0.80412,0.51484,0.60467,0.3534,1.58405,1.43929,0.00871,0.009406,0.009406,0.009406
8,118.485,1.82373,1.51785,0.00628,0.83065,0.52108,0.60018,0.35074,1.61911,1.39689,0.00901,0.009307,0.009307,0.009307
9,130.661,1.75938,1.44779,0.00647,0.8568,0.54466,0.63351,0.38526,1.61741,1.24982,0.009,0.009208,0.009208,0.009208
10,142.995,1.7451,1.43619,0.00635,0.83743,0.55284,0.63136,0.3912,1.61157,1.2586,0.00868,0.009109,0.009109,0.009109
11,155.409,1.75519,1.37445,0.00636,0.84832,0.56793,0.63813,0.40123,1.57604,1.25177,0.00892,0.00901,0.00901,0.00901
12,167.941,1.79542,1.39932,0.00631,0.81219,0.58327,0.64852,0.40839,1.60378,1.23715,0.009,0.008911,0.008911,0.008911
13,180.323,1.77463,1.31462,0.00612,0.89871,0.55534,0.66733,0.40882,1.57221,1.23591,0.0089,0.008812,0.008812,0.008812
14,192.62,1.74321,1.33745,0.00623,0.90713,0.57068,0.6758,0.42366,1.54879,1.12465,0.00856,0.008713,0.008713,0.008713
15,204.898,1.75006,1.31316,0.00598,0.86099,0.5566,0.65804,0.40628,1.52997,1.19576,0.00832,0.008614,0.008614,0.008614
16,217.118,1.7517,1.2924,0.00614,0.84213,0.61416,0.68588,0.44201,1.56793,1.08049,0.00855,0.008515,0.008515,0.008515
17,229.487,1.72681,1.25725,0.00587,0.83398,0.62386,0.69983,0.44517,1.53421,1.0693,0.00851,0.008416,0.008416,0.008416
18,242.149,1.69352,1.24304,0.00588,0.87823,0.62766,0.70241,0.44349,1.54183,1.06313,0.00834,0.008317,0.008317,0.008317
19,254.514,1.72418,1.24098,0.0058,0.87838,0.63919,0.70914,0.45524,1.50948,1.04738,0.00809,0.008218,0.008218,0.008218
20,266.849,1.67307,1.22135,0.006,0.86818,0.62103,0.70339,0.44723,1.50176,1.05471,0.00822,0.008119,0.008119,0.008119
21,279.071,1.6857,1.17999,0.0059,0.86601,0.6366,0.73882,0.44911,1.47163,1.02624,0.00786,0.00802,0.00802,0.00802
22,291.355,1.70738,1.20522,0.00586,0.92207,0.64181,0.72815,0.46264,1.47014,0.97713,0.00784,0.007921,0.007921,0.007921
23,303.693,1.70725,1.18067,0.00573,0.92231,0.626,0.72443,0.46456,1.49843,0.99894,0.00778,0.007822,0.007822,0.007822
24,315.937,1.65532,1.15464,0.00584,0.8797,0.6464,0.71989,0.45892,1.46863,0.96333,0.00775,0.007723,0.007723,0.007723
25,328.22,1.68451,1.13225,0.00568,0.87227,0.64614,0.72249,0.46552,1.47477,0.97034,0.00762,0.007624,0.007624,0.007624
26,340.487,1.66379,1.10695,0.00557,0.87347,0.66824,0.72864,0.45987,1.47094,0.97017,0.0078,0.007525,0.007525,0.007525
27,352.685,1.68484,1.14058,0.00577,0.89728,0.65731,0.73605,0.47311,1.45753,0.89536,0.00757,0.007426,0.007426,0.007426
28,365.072,1.63542,1.10266,0.00563,0.89803,0.67183,0.74603,0.48187,1.47228,0.85802,0.00783,0.007327,0.007327,0.007327
29,377.372,1.62083,1.06671,0.00562,0.95447,0.65366,0.75716,0.48987,1.40899,0.84113,0.00739,0.007228,0.007228,0.007228
30,389.672,1.67188,1.08436,0.00555,0.92124,0.68165,0.76119,0.50239,1.42165,0.82045,0.00739,0.007129,0.007129,0.007129
