epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0783,1.68987,2.37301,1.32308,0.64445,0.42194,0.44909,0.26737,1.37812,1.66165,1.12509,0.00326241,0.00326241,0.0706383
2,21.1455,1.52605,1.43219,1.2011,0.70111,0.43461,0.50166,0.30894,1.37852,1.32866,1.10765,0.00653045,0.00653045,0.040573
3,30.3416,1.46321,1.34655,1.18103,0.71653,0.45986,0.51644,0.3172,1.41521,1.3483,1.12148,0.00973248,0.00973248,0.0104417
4,39.6467,1.48029,1.31486,1.16752,0.83817,0.45518,0.55958,0.3341,1.40737,1.30482,1.13569,0.009703,0.009703,0.009703
5,49.1572,1.50544,1.29371,1.18209,0.84356,0.49233,0.58511,0.37178,1.34851,1.08101,1.09477,0.009604,0.009604,0.009604
6,58.6852,1.51762,1.22075,1.20101,0.57226,0.5519,0.55133,0.3381,1.40436,1.1601,1.13391,0.009505,0.009505,0.009505
7,68.2408,1.47378,1.19766,1.20194,0.80104,0.45339,0.57529,0.37407,1.31425,1.09156,1.10326,0.009406,0.009406,0.009406
8,77.8586,1.46363,1.14667,1.16648,0.82151,0.55493,0.66198,0.431,1.26567,0.99945,1.05423,0.009307,0.009307,0.009307
9,87.3066,1.42917,1.087,1.16177,0.75757,0.6094,0.67719,0.43832,1.29827,0.99259,1.08324,0.009208,0.009208,0.009208
10,96.802,1.45121,1.08882,1.16927,0.78922,0.56527,0.67093,0.43486,1.27257,0.95025,1.06915,0.009109,0.009109,0.009109
11,106.138,1.40254,1.0582,1.16744,0.83173,0.5882,0.70986,0.47664,1.24579,0.96902,1.05998,0.00901,0.00901,0.00901
12,115.529,1.43907,1.05852,1.1621,0.80895,0.61768,0.70846,0.45225,1.28832,0.93687,1.06367,0.008911,0.008911,0.008911
