epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8392,1.78224,2.47141,1.29509,0.65217,0.32343,0.32556,0.17416,1.64231,1.77661,1.21828,0.00326241,0.00326241,0.0706383
2,20.9966,1.61822,1.48302,1.2108,0.79857,0.36194,0.42329,0.2409,1.60781,1.41258,1.18512,0.00653045,0.00653045,0.040573
3,30.3381,1.58333,1.3652,1.18708,0.72465,0.38744,0.43624,0.2385,1.64158,1.36151,1.21659,0.00973248,0.00973248,0.0104417
4,39.6377,1.57622,1.312,1.18379,0.68193,0.40436,0.47107,0.26674,1.60906,1.23093,1.19093,0.009703,0.009703,0.009703
5,49.0161,1.5825,1.24805,1.1992,0.79227,0.36104,0.44184,0.24449,1.62434,1.37341,1.25016,0.009604,0.009604,0.009604
6,58.3819,1.57859,1.22696,1.19308,0.80747,0.42783,0.49969,0.27113,1.5837,1.21589,1.18903,0.009505,0.009505,0.009505
7,67.8507,1.57337,1.20001,1.18955,0.8188,0.4142,0.49295,0.27689,1.54598,1.17755,1.17792,0.009406,0.009406,0.009406
8,77.3944,1.56376,1.18229,1.16562,0.82021,0.45558,0.56221,0.32295,1.53262,1.17316,1.15989,0.009307,0.009307,0.009307
9,86.9916,1.5302,1.11791,1.16538,0.83719,0.47867,0.6806,0.39029,1.55446,1.10367,1.16415,0.009208,0.009208,0.009208
10,96.7261,1.53684,1.09986,1.16466,0.83859,0.48386,0.56481,0.336,1.49412,1.03133,1.14753,0.009109,0.009109,0.009109
11,106.309,1.51246,1.07815,1.14622,0.84156,0.4796,0.55827,0.32764,1.48398,1.03103,1.13982,0.00901,0.00901,0.00901
12,115.748,1.49922,1.05799,1.14444,0.69748,0.63196,0.64602,0.38867,1.45676,0.96926,1.12873,0.008911,0.008911,0.008911
13,125.164,1.52103,1.05191,1.15014,0.89078,0.51719,0.69133,0.40897,1.48304,0.94695,1.1426,0.008812,0.008812,0.008812
14,134.698,1.50602,1.06298,1.15413,0.70116,0.64006,0.66781,0.38476,1.45044,0.9597,1.1245,0.008713,0.008713,0.008713
15,144.136,1.49787,1.01934,1.12971,0.79688,0.53907,0.66758,0.37892,1.47958,0.9758,1.12384,0.008614,0.008614,0.008614
16,153.614,1.49656,1.03713,1.13991,0.87026,0.61212,0.78191,0.4863,1.39324,0.88974,1.09377,0.008515,0.008515,0.008515
17,163.127,1.46714,0.98153,1.12343,0.84616,0.55506,0.7748,0.44605,1.43676,0.94645,1.09693,0.008416,0.008416,0.008416
18,172.588,1.46103,0.96068,1.12412,0.86741,0.62912,0.73442,0.42754,1.43785,0.91146,1.10101,0.008317,0.008317,0.008317
19,182.063,1.46622,0.97336,1.11592,0.86441,0.57364,0.78286,0.4839,1.39828,0.87369,1.08659,0.008218,0.008218,0.008218
20,191.552,1.43981,0.93997,1.1259,0.90559,0.64253,0.84544,0.51596,1.36523,0.85936,1.07493,0.008119,0.008119,0.008119
21,201.09,1.43573,0.93591,1.11536,0.873,0.62486,0.80402,0.51536,1.38755,0.8593,1.07647,0.00802,0.00802,0.00802
22,210.612,1.44006,0.93212,1.11336,0.78763,0.70544,0.77672,0.49694,1.33194,0.81632,1.06061,0.007921,0.007921,0.007921
23,220.165,1.42323,0.91986,1.1063,0.84066,0.70177,0.80562,0.50025,1.36615,0.85567,1.08092,0.007822,0.007822,0.007822
24,229.601,1.39669,0.89963,1.10254,0.70791,0.83995,0.87509,0.56054,1.36659,0.80947,1.06405,0.007723,0.007723,0.007723
25,239.095,1.37824,0.87575,1.07858,0.90025,0.70999,0.87789,0.52409,1.34019,0.77802,1.05086,0.007624,0.007624,0.007624
26,248.582,1.37456,0.86877,1.08085,0.82067,0.64516,0.83309,0.51111,1.33923,0.78787,1.0497,0.007525,0.007525,0.007525
27,258.068,1.3824,0.86603,1.08473,0.84235,0.81856,0.87759,0.5273,1.31657,0.78769,1.04285,0.007426,0.007426,0.007426
28,267.623,1.36839,0.85191,1.08671,0.68686,0.88122,0.85364,0.55109,1.31216,0.74934,1.05023,0.007327,0.007327,0.007327
29,277.08,1.36067,0.83219,1.08955,0.90019,0.77114,0.87132,0.58426,1.29516,0.75585,1.04598,0.007228,0.007228,0.007228
30,286.608,1.37647,0.85278,1.08039,0.88667,0.79111,0.88053,0.57469,1.27147,0.72831,1.03678,0.007129,0.007129,0.007129
31,296.085,1.33924,0.81967,1.06153,0.90414,0.79667,0.89156,0.58927,1.2562,0.72468,1.02917,0.00703,0.00703,0.00703
32,305.585,1.34133,0.81438,1.06763,0.92541,0.81202,0.88936,0.57532,1.26135,0.73377,1.03939,0.006931,0.006931,0.006931
33,314.962,1.32541,0.80052,1.06432,0.86212,0.83183,0.89806,0.61473,1.24285,0.70048,1.02662,0.006832,0.006832,0.006832
34,324.556,1.3223,0.78768,1.05175,0.85093,0.78595,0.8759,0.59251,1.25309,0.69257,1.02695,0.006733,0.006733,0.006733
35,333.995,1.31452,0.79417,1.05367,0.88428,0.8576,0.90685,0.60958,1.22826,0.67219,1.00713,0.006634,0.006634,0.006634
36,343.706,1.32998,0.78398,1.05301,0.90575,0.80982,0.90112,0.60678,1.21292,0.67541,1.00948,0.006535,0.006535,0.006535
37,353.164,1.30691,0.78481,1.0514,0.90435,0.81283,0.90218,0.60014,1.22865,0.67323,1.01019,0.006436,0.006436,0.006436
38,362.672,1.28178,0.75901,1.03891,0.90253,0.85324,0.91414,0.61,1.21546,0.64821,1.00118,0.006337,0.006337,0.006337
39,372.112,1.28515,0.75835,1.03779,0.90846,0.82729,0.89995,0.62722,1.19241,0.65063,1.00369,0.006238,0.006238,0.006238
40,381.622,1.27205,0.7546,1.04084,0.93059,0.83431,0.90934,0.59867,1.19604,0.65924,1.00907,0.006139,0.006139,0.006139
41,391.102,1.27271,0.75209,1.04315,0.91208,0.7414,0.91006,0.61731,1.18257,0.63685,0.99492,0.00604,0.00604,0.00604
42,400.579,1.25256,0.72897,1.03224,0.8924,0.84967,0.91618,0.64099,1.20841,0.64329,0.99897,0.005941,0.005941,0.005941
43,410.127,1.2636,0.75839,1.03329,0.91731,0.85721,0.91825,0.64055,1.17526,0.63338,0.98147,0.005842,0.005842,0.005842
44,419.552,1.22404,0.72053,1.02044,0.94324,0.83252,0.92295,0.65991,1.14967,0.62415,0.98192,0.005743,0.005743,0.005743
45,429.05,1.2624,0.72897,1.03408,0.86101,0.861,0.91874,0.6372,1.15527,0.62262,0.98653,0.005644,0.005644,0.005644
46,438.461,1.22099,0.71105,1.01792,0.91271,0.86195,0.92866,0.64786,1.12226,0.59517,0.97401,0.005545,0.005545,0.005545
47,447.899,1.22162,0.7049,1.01411,0.91239,0.86911,0.92754,0.66584,1.09094,0.58659,0.96303,0.005446,0.005446,0.005446
48,457.399,1.20771,0.68626,1.01339,0.92448,0.86271,0.93107,0.67949,1.09386,0.57557,0.95792,0.005347,0.005347,0.005347
49,466.915,1.22085,0.70531,1.01061,0.93984,0.86875,0.93456,0.64836,1.09615,0.57846,0.95911,0.005248,0.005248,0.005248
50,476.379,1.19215,0.68999,1.0006,0.93068,0.88353,0.93313,0.66641,1.09447,0.57732,0.9588,0.005149,0.005149,0.005149
51,485.842,1.17993,0.66814,0.9991,0.94321,0.86091,0.93447,0.67282,1.08092,0.57135,0.95146,0.00505,0.00505,0.00505
52,495.301,1.18145,0.67723,1.00107,0.89561,0.87516,0.9253,0.67658,1.06987,0.57367,0.94907,0.004951,0.004951,0.004951
53,504.767,1.17515,0.6701,0.99192,0.92565,0.87566,0.93534,0.67621,1.0385,0.55122,0.94239,0.004852,0.004852,0.004852
54,514.222,1.14726,0.65072,0.98973,0.92378,0.88148,0.93878,0.66248,1.0448,0.55325,0.94262,0.004753,0.004753,0.004753
55,523.702,1.14118,0.65222,0.98883,0.92039,0.90552,0.94025,0.69991,1.01967,0.54567,0.93734,0.004654,0.004654,0.004654
56,533.204,1.13851,0.65199,0.9837,0.91777,0.89369,0.94179,0.70018,1.00438,0.535,0.93244,0.004555,0.004555,0.004555
57,542.708,1.13305,0.64809,0.98196,0.91336,0.8955,0.94319,0.69654,1.0319,0.53272,0.93792,0.004456,0.004456,0.004456
58,552.118,1.13442,0.64314,0.98098,0.92387,0.88212,0.93725,0.71315,0.99399,0.51566,0.93022,0.004357,0.004357,0.004357
59,561.648,1.11079,0.6332,0.98164,0.92696,0.88702,0.94111,0.71233,0.99717,0.51328,0.92442,0.004258,0.004258,0.004258
60,571.056,1.10734,0.62123,0.97976,0.92655,0.89341,0.94829,0.69204,0.99987,0.50978,0.92224,0.004159,0.004159,0.004159
61,580.464,1.13078,0.63056,0.97868,0.89915,0.89158,0.94387,0.7058,0.98984,0.51705,0.92299,0.00406,0.00406,0.00406
62,589.906,1.09709,0.6158,0.97344,0.91675,0.90853,0.94579,0.71408,0.9467,0.50856,0.91447,0.003961,0.003961,0.003961
63,599.38,1.07838,0.60134,0.96672,0.92307,0.90451,0.94806,0.71735,0.94239,0.50116,0.91163,0.003862,0.003862,0.003862
64,608.903,1.11002,0.62094,0.97049,0.90192,0.91762,0.95131,0.74453,0.95544,0.49793,0.90732,0.003763,0.003763,0.003763
65,618.443,1.09225,0.60434,0.96268,0.91684,0.90865,0.95004,0.73975,0.93335,0.48884,0.90169,0.003664,0.003664,0.003664
66,627.87,1.06379,0.58965,0.9572,0.94043,0.88153,0.94925,0.74285,0.91803,0.48721,0.89821,0.003565,0.003565,0.003565
67,637.338,1.0846,0.60335,0.96218,0.91793,0.90891,0.95008,0.74392,0.93869,0.49703,0.90614,0.003466,0.003466,0.003466
68,646.791,1.06331,0.58796,0.95474,0.93529,0.91244,0.95371,0.74622,0.89764,0.47119,0.89078,0.003367,0.003367,0.003367
69,656.318,1.04857,0.58515,0.95272,0.94008,0.906,0.95196,0.74977,0.90064,0.47424,0.8947,0.003268,0.003268,0.003268
70,665.893,1.05804,0.59141,0.95652,0.93882,0.91801,0.95815,0.74974,0.88441,0.48043,0.8887,0.003169,0.003169,0.003169
71,675.33,1.05831,0.59302,0.95376,0.93895,0.91155,0.95495,0.76982,0.8731,0.46845,0.88473,0.00307,0.00307,0.00307
72,684.867,1.01707,0.56236,0.94181,0.93162,0.90079,0.95315,0.75358,0.86395,0.47077,0.88467,0.002971,0.002971,0.002971
73,694.354,1.03477,0.5727,0.93762,0.94257,0.90912,0.9549,0.73636,0.88092,0.46245,0.88753,0.002872,0.002872,0.002872
74,703.802,1.02776,0.56268,0.94439,0.93542,0.91567,0.95528,0.76359,0.85671,0.45487,0.88034,0.002773,0.002773,0.002773
75,713.254,1.03672,0.57516,0.94942,0.92238,0.91508,0.95148,0.78471,0.84327,0.45237,0.87673,0.002674,0.002674,0.002674
76,723.1,1.00444,0.55666,0.93964,0.94062,0.92019,0.95532,0.76906,0.81997,0.44424,0.87128,0.002575,0.002575,0.002575
77,732.641,1.0126,0.55923,0.94407,0.91241,0.92627,0.95594,0.76601,0.81783,0.43577,0.87223,0.002476,0.002476,0.002476
78,742.134,0.99806,0.55232,0.93739,0.92879,0.91732,0.95777,0.76585,0.81472,0.43582,0.86947,0.002377,0.002377,0.002377
79,751.665,1.01088,0.55776,0.93199,0.94169,0.91316,0.95754,0.7621,0.82966,0.44128,0.86693,0.002278,0.002278,0.002278
80,761.128,0.98318,0.54872,0.92823,0.94351,0.90784,0.95662,0.77662,0.82979,0.43671,0.86942,0.002179,0.002179,0.002179
81,770.635,0.97646,0.53893,0.92898,0.93519,0.91753,0.95806,0.76788,0.82725,0.43337,0.87128,0.00208,0.00208,0.00208
82,780.098,0.96686,0.53002,0.92405,0.94707,0.91359,0.95621,0.77357,0.80496,0.43042,0.86659,0.001981,0.001981,0.001981
83,789.622,0.9707,0.53106,0.92758,0.94711,0.90988,0.95744,0.77693,0.80558,0.42965,0.86591,0.001882,0.001882,0.001882
84,799.072,0.9651,0.53045,0.92196,0.92828,0.92502,0.96065,0.77541,0.80646,0.42465,0.86534,0.001783,0.001783,0.001783
85,808.576,0.93975,0.52129,0.91387,0.94172,0.90738,0.96273,0.77427,0.80575,0.42204,0.86341,0.001684,0.001684,0.001684
86,818.149,0.949,0.52394,0.9231,0.95079,0.9144,0.9637,0.77783,0.81075,0.42242,0.86146,0.001585,0.001585,0.001585
87,827.621,0.95863,0.52329,0.91578,0.95808,0.91529,0.96125,0.77261,0.80134,0.41922,0.86146,0.001486,0.001486,0.001486
88,837.054,0.91515,0.5098,0.91321,0.96894,0.91656,0.95929,0.77808,0.79342,0.41427,0.85775,0.001387,0.001387,0.001387
89,846.575,0.93481,0.51429,0.91703,0.9625,0.92444,0.95954,0.79743,0.76761,0.4052,0.85318,0.001288,0.001288,0.001288
90,856.065,0.91918,0.50926,0.91693,0.9452,0.92895,0.96304,0.78419,0.7638,0.40447,0.85292,0.001189,0.001189,0.001189
