epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6683,1.95896,3.35788,0.00693,0.65966,0.27783,0.3233,0.17453,1.81204,2.54766,0.00929,0.00326241,0.00326241,0.0706383
2,48.6514,1.88582,2.20351,0.00646,0.7184,0.35639,0.4042,0.20885,1.84996,2.06894,0.00986,0.00653045,0.00653045,0.040573
3,60.7014,1.86661,1.88199,0.00646,0.74121,0.36646,0.42458,0.21901,1.8542,1.97544,0.0102,0.00973248,0.00973248,0.0104417
4,72.8966,1.87067,1.77318,0.00644,0.73071,0.41787,0.44077,0.23709,1.81533,1.86086,0.00991,0.009703,0.009703,0.009703
5,85.0793,1.87626,1.71895,0.00655,0.84666,0.3712,0.54109,0.27435,1.83915,1.65085,0.00981,0.009604,0.009604,0.009604
6,97.7233,1.88468,1.65038,0.00664,0.68236,0.40425,0.52347,0.26249,1.85079,1.7864,0.00973,0.009505,0.009505,0.009505
7,109.874,1.84621,1.62432,0.00651,0.72473,0.42856,0.56451,0.31179,1.75439,1.52163,0.00934,0.009406,0.009406,0.009406
8,122.312,1.85183,1.56668,0.00632,0.80563,0.45835,0.5409,0.30307,1.75114,1.47717,0.00907,0.009307,0.009307,0.009307
9,134.928,1.81129,1.48074,0.00639,0.85582,0.43444,0.61488,0.32788,1.77916,1.41515,0.0092,0.009208,0.009208,0.009208
10,147.825,1.82114,1.44317,0.00636,0.80731,0.43445,0.51797,0.2875,1.83702,1.44741,0.00943,0.009109,0.009109,0.009109
11,161.236,1.81759,1.47242,0.00624,0.80538,0.48381,0.5798,0.33085,1.74171,1.39359,0.00902,0.00901,0.00901,0.00901
12,174.508,1.79486,1.41032,0.00611,0.83344,0.49989,0.70377,0.38265,1.74445,1.30974,0.00901,0.008911,0.008911,0.008911
13,187.344,1.81547,1.38989,0.00608,0.88356,0.48554,0.71864,0.41085,1.73612,1.34216,0.009,0.008812,0.008812,0.008812
14,199.959,1.80392,1.40425,0.00631,0.78069,0.55233,0.75921,0.39954,1.6818,1.29319,0.00851,0.008713,0.008713,0.008713
15,212.676,1.82754,1.38754,0.00603,0.78675,0.55159,0.70092,0.38713,1.74933,1.37697,0.00909,0.008614,0.008614,0.008614
16,225.439,1.80558,1.35892,0.00614,0.70049,0.71699,0.82132,0.42363,1.65761,1.21223,0.00828,0.008515,0.008515,0.008515
17,238.67,1.79943,1.31228,0.00593,0.85786,0.63362,0.82062,0.40874,1.67339,1.23823,0.00848,0.008416,0.008416,0.008416
18,251.665,1.7777,1.29999,0.00591,0.70122,0.70249,0.81746,0.39045,1.6919,1.18574,0.00868,0.008317,0.008317,0.008317
19,264.483,1.78019,1.28062,0.00578,0.84983,0.63881,0.83734,0.43103,1.67888,1.18337,0.00885,0.008218,0.008218,0.008218
20,277.419,1.75255,1.24844,0.00607,0.7932,0.77404,0.81828,0.45312,1.68641,1.19088,0.00842,0.008119,0.008119,0.008119
21,290.165,1.76363,1.26794,0.00593,0.6062,0.83014,0.82587,0.4938,1.69382,1.13806,0.00843,0.00802,0.00802,0.00802
22,303.098,1.76262,1.2541,0.0058,0.8576,0.64717,0.83408,0.46716,1.66285,1.1087,0.00822,0.007921,0.007921,0.007921
23,316.152,1.75964,1.21394,0.00583,0.68658,0.80315,0.83694,0.43702,1.66527,1.11297,0.0084,0.007822,0.007822,0.007822
24,329.131,1.70874,1.20884,0.00578,0.86762,0.65153,0.84636,0.51049,1.64848,1.07745,0.00821,0.007723,0.007723,0.007723
25,342.016,1.7211,1.1667,0.00561,0.87576,0.65641,0.79231,0.4801,1.64745,1.11257,0.00822,0.007624,0.007624,0.007624
26,354.895,1.71862,1.175,0.00565,0.86632,0.65895,0.85519,0.48739,1.6245,1.00672,0.0079,0.007525,0.007525,0.007525
27,367.827,1.71959,1.15931,0.00565,0.6389,0.86887,0.86453,0.53044,1.61356,0.9911,0.00796,0.007426,0.007426,0.007426
28,380.841,1.69876,1.12831,0.00567,0.91284,0.66111,0.81307,0.47805,1.59438,1.04475,0.00769,0.007327,0.007327,0.007327
29,393.877,1.6816,1.0987,0.0058,0.87785,0.67635,0.77411,0.47771,1.59841,1.04675,0.00798,0.007228,0.007228,0.007228
30,406.989,1.71513,1.15324,0.00563,0.88354,0.67434,0.88278,0.57478,1.56657,1.02624,0.00752,0.007129,0.007129,0.007129
31,420.001,1.70667,1.12476,0.00543,0.83072,0.70189,0.88193,0.55212,1.55669,1.02086,0.00751,0.00703,0.00703,0.00703
32,432.785,1.68688,1.0901,0.00546,0.89552,0.69052,0.89227,0.56234,1.54061,0.9501,0.00768,0.006931,0.006931,0.006931
33,445.841,1.66766,1.06468,0.0055,0.82527,0.83994,0.88712,0.58715,1.55544,0.90771,0.00763,0.006832,0.006832,0.006832
34,458.708,1.66999,1.06123,0.00544,0.76728,0.88416,0.89286,0.56036,1.53436,0.94711,0.00738,0.006733,0.006733,0.006733
35,471.695,1.65716,1.06232,0.00548,0.68734,0.88213,0.89653,0.58365,1.55525,0.88152,0.00764,0.006634,0.006634,0.006634
36,484.666,1.68203,1.06473,0.0054,0.7391,0.88458,0.89115,0.59294,1.53921,0.91342,0.00738,0.006535,0.006535,0.006535
