epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0907,1.64949,2.52299,1.3087,0.55173,0.30083,0.2978,0.15489,1.69806,1.75666,1.26505,0.00326241,0.00326241,0.0706383
2,22.9963,1.48319,1.46895,1.20941,0.77798,0.35631,0.37739,0.21317,1.60466,1.52448,1.21693,0.00653045,0.00653045,0.040573
3,32.9782,1.45591,1.41448,1.20761,0.82133,0.42048,0.49609,0.29219,1.50689,1.31182,1.15106,0.00973248,0.00973248,0.0104417
4,43.0254,1.44998,1.31569,1.1777,0.76421,0.36882,0.41575,0.22917,1.54953,1.51741,1.1738,0.009703,0.009703,0.009703
5,53.0255,1.45962,1.25913,1.19939,0.81791,0.33891,0.51052,0.32792,1.58944,1.37327,1.2248,0.009604,0.009604,0.009604
6,63.0894,1.43253,1.18045,1.19057,0.74581,0.51585,0.54269,0.32281,1.52902,1.10821,1.18644,0.009505,0.009505,0.009505
7,72.9322,1.4087,1.15104,1.18019,0.79563,0.41961,0.49294,0.31159,1.61587,1.35124,1.23359,0.009406,0.009406,0.009406
8,82.9163,1.39602,1.12283,1.16527,0.86827,0.47972,0.60946,0.38873,1.53437,1.17223,1.17278,0.009307,0.009307,0.009307
9,92.9845,1.39474,1.09383,1.17158,0.82086,0.49708,0.57867,0.37859,1.45596,1.09947,1.13286,0.009208,0.009208,0.009208
10,103.009,1.39149,1.07132,1.16291,0.82884,0.54073,0.61397,0.40719,1.46137,1.05693,1.12736,0.009109,0.009109,0.009109
11,113.262,1.38495,1.05909,1.15388,0.86975,0.55988,0.64277,0.42855,1.40687,0.9825,1.12352,0.00901,0.00901,0.00901
12,123.413,1.38438,1.03094,1.15027,0.84305,0.55815,0.62615,0.40379,1.45197,0.98526,1.13118,0.008911,0.008911,0.008911
13,133.527,1.34616,1.00166,1.13939,0.86552,0.54666,0.67892,0.42517,1.39186,0.94143,1.10722,0.008812,0.008812,0.008812
14,143.681,1.3606,1.00562,1.1402,0.8108,0.57069,0.68928,0.42806,1.41541,0.94632,1.10358,0.008713,0.008713,0.008713
15,153.739,1.33923,0.97852,1.12537,0.86426,0.55958,0.80134,0.46072,1.40221,0.99106,1.10901,0.008614,0.008614,0.008614
16,163.765,1.32969,0.96131,1.12946,0.89464,0.53636,0.72222,0.42504,1.39812,0.93997,1.10751,0.008515,0.008515,0.008515
17,173.769,1.34407,0.95153,1.12461,0.85702,0.5992,0.76232,0.48294,1.39957,0.94732,1.0914,0.008416,0.008416,0.008416
18,184.011,1.30455,0.93296,1.11803,0.87528,0.56531,0.71577,0.47307,1.31549,0.87109,1.06841,0.008317,0.008317,0.008317
19,194.186,1.30457,0.90342,1.1081,0.86853,0.60754,0.75395,0.46759,1.37177,0.86169,1.09015,0.008218,0.008218,0.008218
20,204.374,1.27154,0.87067,1.11138,0.81552,0.62143,0.73609,0.48075,1.3747,0.89087,1.08077,0.008119,0.008119,0.008119
21,214.482,1.28349,0.88799,1.09763,0.87996,0.59674,0.77768,0.53314,1.32087,0.84499,1.0567,0.00802,0.00802,0.00802
22,224.734,1.28833,0.89414,1.10047,0.78735,0.69846,0.77253,0.50927,1.32369,0.86674,1.06805,0.007921,0.007921,0.007921
23,234.88,1.26663,0.87211,1.09635,0.83029,0.63755,0.77586,0.52852,1.30252,0.80565,1.05474,0.007822,0.007822,0.007822
24,244.895,1.28562,0.86341,1.10507,0.85709,0.68505,0.87385,0.55495,1.31129,0.81496,1.06008,0.007723,0.007723,0.007723
25,255.02,1.25264,0.83595,1.08764,0.89312,0.65575,0.8675,0.53789,1.28723,0.79194,1.04768,0.007624,0.007624,0.007624
26,265.123,1.26307,0.83948,1.07205,0.90926,0.67002,0.8224,0.53098,1.2725,0.79094,1.0402,0.007525,0.007525,0.007525
27,275.185,1.24128,0.83262,1.08548,0.87907,0.66342,0.88782,0.60271,1.23666,0.75497,1.03057,0.007426,0.007426,0.007426
28,285.329,1.22657,0.81551,1.08021,0.88929,0.69933,0.89897,0.60706,1.21071,0.7551,1.01917,0.007327,0.007327,0.007327
29,295.479,1.21958,0.79145,1.07906,0.88994,0.70762,0.8505,0.5806,1.2552,0.77633,1.0418,0.007228,0.007228,0.007228
30,305.514,1.23178,0.79317,1.07765,0.88488,0.73315,0.90036,0.57498,1.21794,0.76765,1.02711,0.007129,0.007129,0.007129
31,315.686,1.22379,0.78709,1.07184,0.70487,0.88593,0.90491,0.60335,1.22933,0.73865,1.01969,0.00703,0.00703,0.00703
32,325.753,1.19549,0.77208,1.06398,0.87459,0.76338,0.90402,0.58376,1.26603,0.73689,1.03572,0.006931,0.006931,0.006931
33,336.097,1.18315,0.74973,1.05913,0.90968,0.75652,0.91633,0.56654,1.21423,0.72099,1.01276,0.006832,0.006832,0.006832
34,346.012,1.17737,0.73917,1.04478,0.81513,0.85634,0.91722,0.64222,1.20089,0.72924,1.00157,0.006733,0.006733,0.006733
35,356.111,1.18695,0.75554,1.05842,0.88363,0.84608,0.91963,0.63516,1.18776,0.70461,1.00074,0.006634,0.006634,0.006634
36,366.111,1.16499,0.74092,1.04783,0.73927,0.92544,0.93214,0.64203,1.19354,0.66291,0.99981,0.006535,0.006535,0.006535
37,376.281,1.17281,0.74061,1.04478,0.92285,0.84548,0.92381,0.6446,1.18377,0.68538,0.98991,0.006436,0.006436,0.006436
38,386.4,1.16311,0.72105,1.04676,0.88355,0.81006,0.92865,0.66026,1.18364,0.66223,0.99196,0.006337,0.006337,0.006337
39,396.638,1.1347,0.71281,1.03557,0.89595,0.81266,0.90392,0.61593,1.18944,0.6778,0.99959,0.006238,0.006238,0.006238
40,406.752,1.14494,0.71912,1.03361,0.72106,0.91971,0.92561,0.65106,1.15477,0.65385,0.97991,0.006139,0.006139,0.006139
41,416.839,1.13696,0.71235,1.03236,0.84961,0.77111,0.93204,0.65313,1.12152,0.64828,0.97595,0.00604,0.00604,0.00604
42,426.941,1.11027,0.68784,1.02749,0.83544,0.79437,0.93273,0.6475,1.12265,0.62857,0.98017,0.005941,0.005941,0.005941
43,437.11,1.13273,0.70692,1.03022,0.92685,0.77968,0.93847,0.68078,1.09397,0.61974,0.96738,0.005842,0.005842,0.005842
44,447.151,1.10834,0.67519,1.01866,0.82943,0.92448,0.94341,0.69849,1.09332,0.60443,0.96043,0.005743,0.005743,0.005743
45,457.146,1.11532,0.68634,1.02482,0.84829,0.91874,0.94834,0.68155,1.09758,0.61604,0.96713,0.005644,0.005644,0.005644
46,466.962,1.11742,0.67508,1.01511,0.81135,0.91413,0.93962,0.67862,1.09326,0.60696,0.96144,0.005545,0.005545,0.005545
47,476.703,1.08229,0.65112,1.01112,0.9287,0.87994,0.94173,0.67379,1.06201,0.58112,0.9501,0.005446,0.005446,0.005446
48,486.54,1.09214,0.65268,1.01159,0.90694,0.87579,0.94787,0.68167,1.07499,0.58637,0.94426,0.005347,0.005347,0.005347
49,496.346,1.08545,0.65551,1.0096,0.87986,0.91228,0.9449,0.68938,1.06216,0.5848,0.94708,0.005248,0.005248,0.005248
50,506.413,1.06901,0.65653,1.00769,0.90497,0.88903,0.94724,0.70286,1.0453,0.56436,0.94359,0.005149,0.005149,0.005149
51,516.529,1.06716,0.63502,0.99526,0.89437,0.87906,0.94937,0.71078,1.03608,0.56595,0.93651,0.00505,0.00505,0.00505
52,526.649,1.04851,0.63922,1.00107,0.82832,0.88151,0.94537,0.72264,1.01053,0.56188,0.9362,0.004951,0.004951,0.004951
53,536.874,1.04744,0.62666,0.99551,0.90343,0.83427,0.94338,0.70539,1.0435,0.5735,0.93276,0.004852,0.004852,0.004852
54,546.959,1.0431,0.61893,0.98646,0.90093,0.90353,0.94945,0.71117,1.0364,0.54751,0.93473,0.004753,0.004753,0.004753
55,556.987,1.02856,0.60965,0.98371,0.90903,0.88296,0.95375,0.68961,1.01511,0.54959,0.93099,0.004654,0.004654,0.004654
56,566.994,1.03716,0.61201,0.98527,0.88975,0.89017,0.95317,0.72489,0.99985,0.53678,0.92565,0.004555,0.004555,0.004555
