epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1753,1.79816,3.44582,0.00777,0.58796,0.29064,0.31298,0.17705,1.80315,2.63527,0.01032,0.00326241,0.00326241,0.0706383
2,46.8256,1.71731,2.24884,0.00716,0.83846,0.30605,0.38043,0.20196,1.75397,2.01677,0.01051,0.00653045,0.00653045,0.040573
3,58.4504,1.69834,1.901,0.00737,0.83635,0.31532,0.39806,0.22751,1.70756,1.88228,0.01014,0.00973248,0.00973248,0.0104417
4,70.1356,1.70729,1.73282,0.0073,0.85282,0.33098,0.53615,0.27072,1.74196,1.76276,0.01032,0.009703,0.009703,0.009703
5,82.3224,1.70694,1.68194,0.00751,0.80885,0.39814,0.49386,0.26471,1.77343,1.52558,0.01072,0.009604,0.009604,0.009604
6,94.2009,1.68795,1.56713,0.00734,0.83753,0.36042,0.46221,0.25286,1.79056,1.72495,0.01082,0.009505,0.009505,0.009505
7,106.111,1.65602,1.51366,0.00728,0.87165,0.39056,0.60458,0.39877,1.6837,1.55064,0.00941,0.009406,0.009406,0.009406
8,118.138,1.67751,1.45544,0.00692,0.82125,0.52344,0.62721,0.37375,1.74393,1.41207,0.01001,0.009307,0.009307,0.009307
9,130.011,1.66519,1.46025,0.00713,0.84229,0.54371,0.73538,0.43787,1.76844,1.36125,0.01047,0.009208,0.009208,0.009208
10,142.112,1.65943,1.40696,0.00711,0.86013,0.46783,0.63035,0.39468,1.68025,1.50739,0.01005,0.009109,0.009109,0.009109
11,154.314,1.65097,1.41976,0.00704,0.80879,0.58332,0.68441,0.3592,1.61846,1.33197,0.00918,0.00901,0.00901,0.00901
12,166.39,1.64256,1.39403,0.00676,0.90664,0.49157,0.66344,0.42795,1.64446,1.34672,0.00948,0.008911,0.008911,0.008911
13,178.325,1.62321,1.32105,0.00685,0.84436,0.54302,0.66629,0.41603,1.64254,1.33768,0.00941,0.008812,0.008812,0.008812
14,190.304,1.63809,1.30551,0.00682,0.80579,0.57421,0.68753,0.40715,1.67711,1.27198,0.00974,0.008713,0.008713,0.008713
15,202.214,1.6215,1.2844,0.0066,0.80981,0.57871,0.73677,0.45925,1.62579,1.2256,0.00906,0.008614,0.008614,0.008614
16,214.296,1.6097,1.26328,0.00657,0.86147,0.57865,0.76267,0.43184,1.63207,1.23015,0.00924,0.008515,0.008515,0.008515
17,226.444,1.61571,1.25293,0.00654,0.75222,0.67176,0.70874,0.46173,1.60998,1.15584,0.00869,0.008416,0.008416,0.008416
18,238.543,1.58061,1.21112,0.00656,0.89333,0.5815,0.75446,0.47223,1.61344,1.08355,0.0087,0.008317,0.008317,0.008317
19,250.892,1.59811,1.18838,0.00643,0.89696,0.57443,0.77969,0.492,1.56862,1.24463,0.00871,0.008218,0.008218,0.008218
20,262.97,1.5523,1.15112,0.00677,0.83259,0.62902,0.79806,0.48858,1.59048,1.10666,0.00865,0.008119,0.008119,0.008119
21,274.882,1.56738,1.17306,0.00646,0.77021,0.71482,0.7787,0.52277,1.56721,1.04241,0.00845,0.00802,0.00802,0.00802
22,286.937,1.59012,1.17832,0.00637,0.73202,0.71679,0.78673,0.47944,1.55371,1.10443,0.00835,0.007921,0.007921,0.007921
23,298.983,1.55499,1.12691,0.00632,0.68606,0.74198,0.81067,0.50895,1.52949,1.12029,0.00822,0.007822,0.007822,0.007822
24,311.052,1.57113,1.13457,0.00648,0.69739,0.73255,0.80068,0.49758,1.56457,1.05917,0.00856,0.007723,0.007723,0.007723
25,323.191,1.55491,1.10397,0.00636,0.7943,0.70813,0.80029,0.47932,1.59833,1.01959,0.00855,0.007624,0.007624,0.007624
26,335.201,1.5805,1.10387,0.00606,0.8564,0.68463,0.77564,0.48189,1.57137,1.04507,0.00852,0.007525,0.007525,0.007525
27,347.248,1.53144,1.08984,0.00623,0.84361,0.70246,0.78518,0.48898,1.58385,1.01745,0.00883,0.007426,0.007426,0.007426
28,359.174,1.51676,1.05676,0.00626,0.91029,0.7352,0.81705,0.53823,1.56826,0.92516,0.00859,0.007327,0.007327,0.007327
29,371.259,1.50888,1.04152,0.00632,0.88505,0.74482,0.89629,0.54258,1.56023,0.97919,0.00841,0.007228,0.007228,0.007228
30,383.411,1.52469,1.03874,0.00617,0.73527,0.88118,0.9003,0.58349,1.4888,1.01296,0.00788,0.007129,0.007129,0.007129
31,395.519,1.51933,1.04533,0.00609,0.87439,0.73111,0.90425,0.60345,1.50745,0.98775,0.00801,0.00703,0.00703,0.00703
32,407.938,1.51273,1.04667,0.00601,0.91376,0.72971,0.90808,0.61125,1.52904,0.90058,0.00788,0.006931,0.006931,0.006931
33,420.02,1.48243,0.98361,0.00603,0.89808,0.74217,0.90343,0.53494,1.50684,0.92544,0.00779,0.006832,0.006832,0.006832
34,432.026,1.48824,0.98442,0.0058,0.73115,0.88205,0.84382,0.54793,1.52965,0.91064,0.0081,0.006733,0.006733,0.006733
35,444.063,1.4737,1.00113,0.00598,0.93149,0.74886,0.86426,0.5518,1.4667,0.8806,0.00783,0.006634,0.006634,0.006634
36,456.055,1.48029,0.97231,0.00602,0.7879,0.88804,0.91255,0.53328,1.43524,0.95499,0.00757,0.006535,0.006535,0.006535
37,468.063,1.48323,0.97052,0.00585,0.88613,0.86644,0.91245,0.59742,1.40034,0.83901,0.00731,0.006436,0.006436,0.006436
38,480.098,1.4775,0.94572,0.00586,0.82117,0.88477,0.91759,0.61441,1.44661,0.80322,0.00746,0.006337,0.006337,0.006337
39,492.151,1.43968,0.93112,0.00586,0.73233,0.90024,0.90764,0.61328,1.44142,0.80512,0.00734,0.006238,0.006238,0.006238
40,504.105,1.45177,0.94053,0.00569,0.76004,0.91091,0.91817,0.62094,1.41569,0.87344,0.00741,0.006139,0.006139,0.006139
41,516.21,1.46672,0.93534,0.00573,0.92782,0.85708,0.92652,0.59298,1.45158,0.82476,0.0075,0.00604,0.00604,0.00604
42,528.226,1.43655,0.89795,0.00582,0.74998,0.92409,0.93642,0.61123,1.41142,0.77749,0.00722,0.005941,0.005941,0.005941
43,540.256,1.44372,0.93416,0.00562,0.74978,0.91193,0.92122,0.60257,1.44792,0.86514,0.0074,0.005842,0.005842,0.005842
44,552.382,1.41976,0.89505,0.00557,0.8574,0.88559,0.93033,0.63548,1.44977,0.7602,0.00743,0.005743,0.005743,0.005743
45,564.446,1.42319,0.8895,0.00567,0.78717,0.93004,0.93339,0.64517,1.41086,0.75431,0.00725,0.005644,0.005644,0.005644
46,576.863,1.42385,0.89901,0.0055,0.7874,0.93348,0.93349,0.6667,1.39491,0.75144,0.00723,0.005545,0.005545,0.005545
47,589.008,1.40409,0.85251,0.00557,0.80938,0.92711,0.93637,0.62974,1.38328,0.80972,0.00701,0.005446,0.005446,0.005446
48,601.09,1.4126,0.85304,0.00541,0.92855,0.87077,0.93912,0.66245,1.3869,0.7365,0.00715,0.005347,0.005347,0.005347
49,613.087,1.42032,0.86522,0.00554,0.9436,0.87144,0.94828,0.61919,1.33488,0.70383,0.0069,0.005248,0.005248,0.005248
50,625.165,1.37847,0.86719,0.00544,0.94747,0.84708,0.9383,0.64395,1.358,0.71909,0.00689,0.005149,0.005149,0.005149
51,637.247,1.40282,0.83601,0.00522,0.94967,0.86705,0.94282,0.65035,1.36752,0.72141,0.00686,0.00505,0.00505,0.00505
52,649.25,1.39312,0.8538,0.00552,0.91482,0.87949,0.94971,0.65417,1.32897,0.72784,0.00694,0.004951,0.004951,0.004951
53,661.25,1.381,0.82748,0.0053,0.90889,0.88681,0.95022,0.64143,1.32949,0.70088,0.00677,0.004852,0.004852,0.004852
54,673.338,1.38431,0.78839,0.00524,0.9277,0.88943,0.95176,0.64885,1.34549,0.65348,0.0067,0.004753,0.004753,0.004753
55,685.379,1.33889,0.78146,0.0052,0.91684,0.89334,0.94689,0.67251,1.32118,0.67198,0.00652,0.004654,0.004654,0.004654
56,697.442,1.38008,0.80784,0.00512,0.93175,0.87467,0.9496,0.65839,1.31682,0.69246,0.00651,0.004555,0.004555,0.004555
57,709.45,1.34342,0.79248,0.00525,0.92071,0.87631,0.94705,0.67523,1.32059,0.69753,0.00666,0.004456,0.004456,0.004456
58,721.531,1.35594,0.7847,0.0051,0.8976,0.90909,0.95156,0.68948,1.30757,0.6607,0.00654,0.004357,0.004357,0.004357
59,733.573,1.36673,0.766,0.00516,0.93747,0.87624,0.95204,0.69489,1.3022,0.65183,0.00649,0.004258,0.004258,0.004258
60,745.97,1.3329,0.7635,0.00512,0.92514,0.89756,0.95422,0.67768,1.28185,0.61807,0.00626,0.004159,0.004159,0.004159
