run_id,target,class,n_gt,ap50,ap50_95
e1_0,ctg_pooled_eval,auto_rickshaw,1796,0.5219,0.3067
e1_0,ctg_pooled_eval,bicycle,19,0.0,0.0
e1_0,ctg_pooled_eval,bus,411,0.2322,0.1396
e1_0,ctg_pooled_eval,car,1122,0.4992,0.2893
e1_0,ctg_pooled_eval,cart_vehicle,19,0.0,0.0
e1_0,ctg_pooled_eval,construction_vehicle,11,0.0,0.0
e1_0,ctg_pooled_eval,motorbike,401,0.3704,0.1316
e1_0,ctg_pooled_eval,person,2509,0.2456,0.0936
e1_0,ctg_pooled_eval,priority_vehicle,8,0.0,0.0
e1_0,ctg_pooled_eval,three_wheeler,988,0.3146,0.1709
e1_0,ctg_pooled_eval,truck,668,0.2881,0.1792
e1_0,dhaka_fold0_eval,auto_rickshaw,339,0.6805,0.5042
e1_0,dhaka_fold0_eval,bicycle,49,0.2498,0.1147
e1_0,dhaka_fold0_eval,bus,405,0.5665,0.3289
e1_0,dhaka_fold0_eval,car,735,0.8324,0.5902
e1_0,dhaka_fold0_eval,cart_vehicle,19,0.0,0.0
e1_0,dhaka_fold0_eval,construction_vehicle,0,nan,nan
e1_0,dhaka_fold0_eval,motorbike,368,0.4541,0.224
e1_0,dhaka_fold0_eval,person,1690,0.5616,0.2955
e1_0,dhaka_fold0_eval,priority_vehicle,9,0.0,0.0
e1_0,dhaka_fold0_eval,three_wheeler,616,0.6259,0.3526
e1_0,dhaka_fold0_eval,truck,267,0.3662,0.2194
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,444,0.5562,0.3601
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,1,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,bus,139,0.075,0.0492
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,car,215,0.6145,0.4167
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,9,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,construction_vehicle,6,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,motorbike,95,0.3861,0.1639
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,person,645,0.3339,0.1269
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,priority_vehicle,2,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,three_wheeler,367,0.2708,0.1617
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,truck,211,0.1342,0.0882
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,auto_rickshaw,386,0.6284,0.366
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,bicycle,5,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,bus,14,0.3147,0.2037
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,car,310,0.6203,0.3664
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,cart_vehicle,4,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,construction_vehicle,1,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,motorbike,129,0.3606,0.1142
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,person,857,0.271,0.1049
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,priority_vehicle,6,0.0,0.0
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,three_wheeler,437,0.4628,0.2511
e1_0,ctg_robustness_holdout_bohoddarhat2_eval,truck,29,0.2173,0.1167
e1_1,ctg_pooled_eval,auto_rickshaw,1796,0.5566,0.3418
e1_1,ctg_pooled_eval,bicycle,19,0.0002,0.0
e1_1,ctg_pooled_eval,bus,411,0.3358,0.202
e1_1,ctg_pooled_eval,car,1122,0.5167,0.3
e1_1,ctg_pooled_eval,cart_vehicle,19,0.0014,0.0009
e1_1,ctg_pooled_eval,construction_vehicle,11,0.0,0.0
e1_1,ctg_pooled_eval,motorbike,401,0.4409,0.1685
e1_1,ctg_pooled_eval,person,2509,0.2752,0.1032
e1_1,ctg_pooled_eval,priority_vehicle,8,0.0,0.0
e1_1,ctg_pooled_eval,three_wheeler,988,0.3384,0.1774
e1_1,ctg_pooled_eval,truck,668,0.2886,0.1752
e1_1,dhaka_fold1_eval,auto_rickshaw,285,0.7594,0.5394
e1_1,dhaka_fold1_eval,bicycle,56,0.3002,0.1119
e1_1,dhaka_fold1_eval,bus,235,0.6019,0.4095
e1_1,dhaka_fold1_eval,car,822,0.8116,0.554
e1_1,dhaka_fold1_eval,cart_vehicle,6,0.0105,0.0084
e1_1,dhaka_fold1_eval,construction_vehicle,3,0.0,0.0
e1_1,dhaka_fold1_eval,motorbike,320,0.7534,0.4113
e1_1,dhaka_fold1_eval,person,991,0.6876,0.3622
e1_1,dhaka_fold1_eval,priority_vehicle,22,0.0,0.0
e1_1,dhaka_fold1_eval,three_wheeler,385,0.7709,0.4775
e1_1,dhaka_fold1_eval,truck,403,0.6142,0.3903
e1_1,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,444,0.5716,0.3643
e1_1,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,1,0.0179,0.0018
e1_1,ctg_robustness_holdout_bohoddarhat1_eval,bus,139,0.1935,0.1418
e1_1,ctg_robustness_holdout_bohoddarhat1_eval,car,215,0.5633,0.3759
e1_1,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,9,0.0,0.0
e1_1,ctg_robustness_holdout_bohoddarhat1_eval,construction_vehicle,6,0.0,0.0
e1_1,ctg_robustness_holdout_bohoddarhat1_eval,motorbike,95,0.3691,0.1712
