run_id,target,class,n_gt,ap50,ap50_95
e1_0_y26,ctg_pooled_eval,auto_rickshaw,1796,0.584,0.3429
e1_0_y26,ctg_pooled_eval,bicycle,19,0.0,0.0
e1_0_y26,ctg_pooled_eval,bus,411,0.3105,0.1932
e1_0_y26,ctg_pooled_eval,car,1122,0.5375,0.3223
e1_0_y26,ctg_pooled_eval,cart_vehicle,19,0.0013,0.0004
e1_0_y26,ctg_pooled_eval,construction_vehicle,11,0.0,0.0
e1_0_y26,ctg_pooled_eval,motorbike,401,0.4402,0.1526
e1_0_y26,ctg_pooled_eval,person,2509,0.2867,0.1092
e1_0_y26,ctg_pooled_eval,priority_vehicle,8,0.0,0.0
e1_0_y26,ctg_pooled_eval,three_wheeler,988,0.3369,0.1809
e1_0_y26,ctg_pooled_eval,truck,668,0.3177,0.2008
e1_0_y26,dhaka_fold0_eval,auto_rickshaw,339,0.7198,0.5265
e1_0_y26,dhaka_fold0_eval,bicycle,49,0.241,0.105
e1_0_y26,dhaka_fold0_eval,bus,405,0.6408,0.3851
e1_0_y26,dhaka_fold0_eval,car,735,0.8528,0.609
e1_0_y26,dhaka_fold0_eval,cart_vehicle,19,0.0149,0.0104
e1_0_y26,dhaka_fold0_eval,construction_vehicle,0,nan,nan
e1_0_y26,dhaka_fold0_eval,motorbike,368,0.5458,0.2553
e1_0_y26,dhaka_fold0_eval,person,1690,0.6157,0.3345
e1_0_y26,dhaka_fold0_eval,priority_vehicle,9,0.0,0.0
e1_0_y26,dhaka_fold0_eval,three_wheeler,616,0.6334,0.3756
e1_0_y26,dhaka_fold0_eval,truck,267,0.4308,0.254
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,444,0.5739,0.3749
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,1,0.0,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,bus,139,0.2477,0.1594
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,car,215,0.6459,0.4423
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,9,0.0091,0.0027
