class,ap50_gap,ap50_gap_ci_lo,ap50_gap_ci_hi,recall_gap,recall_gap_ci_lo,recall_gap_ci_hi
auto_rickshaw,0.197,0.1796,0.2165,0.2626,0.2417,0.2814
bicycle,0.0003,-0.0006,0.004,0.0,0.0,0.0
bus,0.017,-0.0349,0.0698,-0.0195,-0.0646,0.0227
car,0.0938,0.0693,0.1174,0.1251,0.1026,0.1488
cart_vehicle,-0.0005,-0.0038,0.0,0.0,0.0,0.0
construction_vehicle,0.0038,0.0,0.0378,0.0,0.0,0.0
motorbike,-0.0448,-0.096,0.0018,-0.0349,-0.0782,0.0106
person,0.0939,0.0773,0.1107,0.1189,0.1045,0.1362
priority_vehicle,0.0,0.0,0.0,0.0,0.0,0.0
three_wheeler,0.2335,0.2033,0.2674,0.2874,0.2601,0.3198
truck,0.098,0.0555,0.1369,0.1397,0.0979,0.1803
