,chittagong,sirajganj,dhaka,khulna,maowa,mymensingh,rajshahi,sherpur,sylhet,Total
truck,710,274,1109,150,690,117,24,485,304,3863
car,1200,41,2214,111,990,627,75,48,1030,6336
person,2630,1464,3646,3649,2154,6534,570,3342,7027,31016
three_wheeler,1037,296,1606,637,407,3133,112,269,2167,9664
bus,446,20,1191,78,823,190,29,7,312,3096
auto_rickshaw,1896,342,875,4275,881,3079,284,2572,3616,17820
motorbike,447,446,948,398,695,1086,172,535,1545,6272
construction_vehicle,12,0,6,0,10,2,5,0,6,41
cart_vehicle,19,1,27,9,4,39,0,3,136,238
bicycle,19,134,139,255,18,135,99,112,284,1195
priority_vehicle,10,0,39,24,103,141,10,0,42,369
train,0,0,41,0,1,0,0,0,0,42
wheelchair,0,0,0,0,0,0,0,0,84,84
